,Hmax,Number of Runs,Nfails,ftolAbs,ftolRel,xtolAbs,xtolRel,The First Seed,Best Seed,Number of Log-lik under 3460,Number of Log-lik under 3450,Number of Log-lik under 3440,Log-lik,Best Run Time,Total CPU Time
Oringinal Try,1,10,100,0.000001,0.00001,0.0001,0.001,3322,3322,1,1,0,3440.8181,16000,150000
Best Starting Tree,0,1,100,0.000001,0.00001,0.0001,0.001,66077,66077,0,0,0,3917.9621,10085,10085
Best Model,1,10,100,0.000001,0.00001,0.0001,0.001,36252,14351,4,4,2,3439.7454,12012,88579.31
Timetest1,1,10,10,0.000001,0.00001,0.0001,0.001,30312,81138,2,1,0,3443.9588,1598,16688.02
Timetest2,1,10,25,0.000001,0.00001,0.0001,0.001,28669,28669,4,1,0,3445.5654,2607,37137.96
Timetest6,1,10,25,0.000001,0.00001,0.0001,0.001,14351,14351,4,3,3,3439.8319,4940,39287.8
Timetest3,1,10,100,0.1,0.1,0.0001,0.001,66086,86464,0,0,0,3579.9085,2239,12630.99
Timetest4,1,10,100,0.01,0.01,0.0001,0.001,62366,62366,0,0,0,3471.5565,3526,21942.35
Timetest5,1,10,100,0.005,0.005,0.0001,0.001,3888,25572,2,1,0,3443.9379,3746,23949.38
Timetest7,1,10,100,0.005,0.005,0.0001,0.001,14351,14351,5,5,0,3442.2165,2351,29822.15
Timetest8,1,10,100,0.000001,0.00001,0.001,0.1,15989,68739,3,2,1,3439.8619,2091,51589.34
Timetest9,1,10,50,0.0001,0.00001,0.0001,0.001,45123,97830,1,1,0,3450.3233,1772,34831.47
Timetest10,1,10,50,0.00001,0.0001,0.0001,0.001,37792,44249,0,0,0,3462.3852,3842,29394.46
Timetest11,1,10,50,0.000005,0.00001,0.0001,0.001,25765,78407,2,2,0,3444.0098,12200,67926.5
Timetest12,1,10,50,0.000001,0.00001,0.01,0.1,39416,74437,4,0,0,3452.1753,1790,18935.63
Timetest13,1,10,100,0.00001,0.00001,0.01,0.1,38112,82736,3,1,1,3439.7857,3131,31456.99
